,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
84,Ayan,56.45,138.17,59.29,78,100,22.77,RU,1597450455
85,Belaya Gora,68.53,146.42,41.49,77,100,7.87,RU,1597450455
86,Grand Gaube,-20.01,57.66,64.99,79,7,4.0,MU,1597450456
87,Puerto del Rosario,28.5,-13.86,73.4,78,20,21.92,ES,1597450456
88,Pevek,69.7,170.31,43.93,86,100,8.68,RU,1597450456
89,Tuatapere,-46.13,167.68,48.0,80,23,4.0,NZ,1597450456
90,Belle Fourche,44.67,-103.85,79.0,16,1,12.75,US,1597450456
91,Burlington,39.88,-74.64,80.6,47,1,10.29,US,1597450386
92,Lorengau,-2.02,147.27,83.82,69,94,3.87,PG,1597450457
93,Barrow,71.29,-156.79,51.8,76,90,12.75,US,1597450457
94,Lüderitz,-26.65,15.16,56.35,73,0,16.62,NA,1597450457
95,Redlands,34.06,-117.18,105.8,14,75,9.17,US,1597450457
96,Husavik,66.04,-17.34,53.6,50,7,18.34,IS,1597450458
97,Hilo,19.73,-155.09,87.8,55,1,9.17,US,1597450101
98,Solnechnyy,50.72,136.63,57.65,95,100,3.58,RU,1597450458
99,Namatanai,-3.67,152.43,84.24,68,100,3.62,PG,1597450458
100,Faanui,-16.48,-151.75,78.15,82,7,17.05,PF,1597450458
101,Liberal,37.04,-100.92,93.2,46,1,20.8,US,1597450247
102,Bethel,41.37,-73.41,78.01,64,40,3.36,US,1597450459
103,Saint-Philippe,-21.36,55.77,66.2,72,20,6.93,RE,1597450459
104,Zhuhai,22.28,113.57,87.01,79,40,5.82,CN,1597450459
105,Hambantota,6.12,81.12,78.66,82,100,15.37,LK,1597450460
106,Jalu,29.03,21.55,80.85,38,0,9.15,LY,1597450460
107,Leiyang,26.4,112.86,83.82,67,35,7.76,CN,1597450460
108,Tuktoyaktuk,69.45,-133.04,51.8,81,75,3.36,CA,1597450460
109,Margate,51.38,1.39,70.0,92,60,1.01,GB,1597450460
110,Sitārganj,28.93,79.7,79.05,86,94,6.55,IN,1597450461
111,Tessalit,20.2,1.01,96.35,18,8,4.29,ML,1597450461
112,Hobart,-42.88,147.33,51.8,93,75,0.27,AU,1597450301
113,Vila Real de Santo António,37.2,-7.42,69.8,60,0,18.34,PT,1597450461
114,Noumea,-22.28,166.46,77.0,53,20,9.17,NC,1597450444
115,Atar,20.52,-13.05,92.44,43,36,5.88,MR,1597450462
116,Yulara,-25.24,130.99,51.8,53,0,4.7,AU,1597450462
117,Cidreira,-30.18,-50.21,60.39,97,84,9.78,BR,1597450462
118,Ilulissat,69.22,-51.1,41.0,60,14,2.24,GL,1597450462
119,Beyneu,45.32,55.2,71.53,36,58,10.65,KZ,1597450463
120,Roald,62.58,6.13,57.2,82,20,13.87,NO,1597450463
121,Muli,2.92,73.57,83.21,67,64,7.7,MV,1597450463
122,Safranbolu,41.25,32.69,52.27,74,0,1.77,TR,1597450463
123,Hermanus,-34.42,19.23,55.0,84,45,11.01,ZA,1597450463
124,Udachny,66.42,112.4,44.6,70,75,4.07,RU,1597450463
125,Maceió,-9.67,-35.74,69.8,100,24,2.24,BR,1597450306
126,Talnakh,69.49,88.4,62.6,67,2,15.66,RU,1597450464
127,Talas,38.69,35.55,57.2,71,0,4.7,TR,1597450464
128,Coquimbo,-29.95,-71.34,50.0,87,0,3.36,CL,1597450464
129,Puerto Ayora,-0.74,-90.35,68.0,94,98,3.0,EC,1597450464
130,Airai,-8.93,125.41,67.75,50,0,3.74,TL,1597450465
131,Nabire,-3.37,135.48,76.75,87,100,2.55,ID,1597450465
132,Thompson,55.74,-97.86,71.6,43,75,9.17,CA,1597450465
133,Ribeira Grande,38.52,-28.7,73.08,80,66,11.97,PT,1597450465
134,Broome,42.25,-75.83,77.0,61,75,4.7,US,1597450465
135,Vung Tau,10.35,107.08,79.83,81,100,9.64,VN,1597450466
136,Alta Floresta,-9.88,-56.09,80.82,28,31,3.04,BR,1597450466
137,Carnarvon,-24.87,113.63,50.0,100,0,4.7,AU,1597450466
138,Souillac,-20.52,57.52,69.8,73,40,8.05,MU,1597450466
139,Nouadhibou,20.93,-17.03,71.6,83,2,12.75,MR,1597450466
140,Emerald,-23.53,148.17,73.99,49,75,10.29,AU,1597450467
